gene_cluster_id	Pangenome	Environment	Enviro_Specific
GC_00004093	Singleton	NA	NA
GC_00004094	Singleton	NA	NA
GC_00004095	Singleton	NA	NA
GC_00004096	Singleton	NA	NA
GC_00004097	Singleton	NA	NA
GC_00004098	Singleton	NA	NA
GC_00004099	Singleton	NA	NA
GC_00004100	Singleton	NA	NA
GC_00004101	Singleton	NA	NA
GC_00004102	Singleton	NA	NA
GC_00004103	Singleton	NA	NA
GC_00004104	Singleton	NA	NA
GC_00004105	Singleton	NA	NA
GC_00004106	Singleton	NA	NA
GC_00004107	Singleton	NA	NA
GC_00004108	Singleton	NA	NA
GC_00004109	Singleton	NA	NA
GC_00004110	Singleton	NA	NA
